Health problem ,ICPC-2,URL
HIV-infection/AIDS ,B90 HIV-infection/AIDS ,https://www.rxreasoner.com/icpc2codes/B90
Influenza,R80 Influenza ,https://www.rxreasoner.com/icpc2codes/R80
Pneumonia  ,R81 Pneumonia  ,https://www.rxreasoner.com/icpc2codes/R81
Anxiety disorder,P74 Anxiety disorder/anxiety state,https://www.rxreasoner.com/icpc2codes/P74
Pregnancy,W78 Pregnancy,https://www.rxreasoner.com/icpc2codes/W78
Pregnancy,W27 Fear of complications of pregnancy ,https://www.rxreasoner.com/icpc2codes/W27
Dispepsia/indigestión,D07 Dyspepsia/indigestion ,https://www.rxreasoner.com/icpc2codes/D07
Poisoning,A84 Poisoning by medical agent  ,https://www.rxreasoner.com/icpc2codes/A84
Drug abuse,P19 Drug abuse ,https://www.rxreasoner.com/icpc2codes/P19
Medication abuse,P18 Medication abuse ,https://www.rxreasoner.com/icpc2codes/P18
Inmunodeficiencia,B99 Blood/lymph/spleen disease other ,https://www.rxreasoner.com/icpc2codes/B99
Liver disease,D97 Liver disease NOS ,https://www.rxreasoner.com/icpc2codes/D97
Hepatitis C,B18.2: Chronic viral hepatitis C,https://www.rxreasoner.com/icd10codes/B18.2
Hepatitis B,B18.1: Chronic viral hepatitis B without delta-agent ,https://www.rxreasoner.com/icd10codes/B18.1
Fear of medical treatment,A13 Concern/fear medical treatment,https://www.rxreasoner.com/icpc2codes/A13
Infectious disease other,A78 Infectious disease other/NOS ,https://www.rxreasoner.com/icpc2codes/A78
Depression disorder,P03 Feeling depressed,https://www.rxreasoner.com/icpc2codes/P03
Urethritis,U72 Urethritis ,https://www.rxreasoner.com/icpc2codes/U72
"Hypertensive disorder, systemic arterial (disorder)",K86 Hypertension uncomplicated,https://www.rxreasoner.com/icpc2codes/K86
Diabetes mellitus,T89 Diabetes insulin dependent,https://www.rxreasoner.com/icpc2codes/T89
Diabetes mellitus,T90 Diabetes non-insulin dependent ,https://www.rxreasoner.com/icpc2codes/T90
Risk factor cardiovascular disease ,K22 Risk factor cardiovascular disease,https://www.rxreasoner.com/icpc2codes/K22
Irritable bowel syndrome,D93 Irritable bowel syndrome,https://www.rxreasoner.com/icpc2codes/D93